mo200,cu200,mo400,cu400,mo600,cu600
0.07563,0.04623,0.0121,0.2809,0.01823,0.0784
0.0025,0.22563,0.0025,0.20703,0.03423,0.03803
0.1296,0.0025,0.0961,0.08123,0.1521,0.18923
0.0676,0.2116,0.0676,0.0529,0.08703,0.02723
0.09,0.00423,0.14063,0.0676,0.0289,0.19803
0.00723,0.0036,0.06003,0.25503,0.04623,0.0144
0,4.00E-04,0.00903,0.0441,0.0784,0.05523
0.0225,0.17223,0.11223,0.13323,0.0036,0.2704
0.03803,0.00123,0.10563,0.2401,0.0225,0.2304
6.25E-04,0.10563,0.0729,0.07563,0.10563,0.01
0.00903,0.02403,2.25E-04,0.03063,0.03423,0.25
0.04623,0.3136,0.04,0.04203,0.01823,0.11903
0.17223,0.0036,0.01823,0.2916,0.1024,0.09
1.00E-04,0.18063,0.0441,0.18063,0.0121,0.29703
0.1024,0.2209,0.1521,0.01103,0.0961,0.15603
0.1225,0.2704,0.05063,0.00903,0.0121,0.2809
0.00203,0.1936,0.07023,0.04203,9.00E-04,0.0576
0.00303,0.21623,0.08123,0.26523,0.10563,0.3025
0.0484,0.17223,0.17223,0.0576,0.0049,0.2601
9.00E-04,0.12603,0.1296,0.1849,0.09923,0.00723
0.06003,0.1296,0.0121,0.14063,0.11903,0.0676
0.12603,0.05063,0.0484,0.1225,0.0025,0.14063
0.09,0.01563,0.0121,0.2304,0.0225,0.00203
0.03063,0.2025,0.1521,0.07563,0.16,0.0841
0.0049,0.0169,0.1089,0.0144,0.00203,0.2601
0.15603,0.2916,0.0529,0.22563,0.00563,0.2401
0.00563,0.3136,0.1444,0.09923,0.0784,0.2809
0.05523,0.07023,2.25E-04,0.3025,0.04203,0.2025
0.17223,0.11903,0.0144,0.1764,1.00E-04,0.00563
0.03423,0.1156,2.50E-05,0.1024,0.0841,0.21623
0.02103,0.02103,0.02723,0.16403,0.1296,0.25
0.0049,0.27563,0.0196,0.12603,0.14823,0.21623
0.0256,0.11903,0.14823,0.00423,0.04,0.1849
0.0529,0.1024,0.04623,0.09923,0.11903,0.22563
0.01323,0.13323,0.1521,0.00723,0.0036,0.27563
0.01103,0.1156,0.11903,0.0484,0.16,0.0196
0.04623,0.00423,0.07563,0.1681,0.1681,0.30803
