0.002,0.111,0.218,0.321,0.429,0.506,0.625,0.702,0.827,0.893,,,,,,,,,,,
0.035,0.112,0.193,0.312,0.366,0.484,0.569,0.672,0.809,0.873,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
n=500,,,,,,,,,,,,,,,,,,,,
BMOSUM,,,,,,,,,,,BCUSUM,,,,,,,,,
p=200,,,,,,,,,,,p=200,,,,,,,,,
0.002,0.111,0.218,0.321,0.429,0.506,0.625,0.702,0.827,0.893,,0.035,0.112,0.193,0.312,0.366,0.484,0.569,0.672,0.809,0.873
0,0.111,0.186,0.3,0.411,0.487,0.589,0.698,0.784,0.915,,0.004,0.093,0.185,0.295,0.365,0.445,0.567,0.657,0.804,0.898
0.003,0.084,0.22,0.295,0.416,0.497,0.616,0.733,0.835,0.904,,0,0.096,0.185,0.288,0.426,0.497,0.578,0.677,0.794,0.908
p=400,,,,,,,,,,,p=400,,,,,,,,,
0.005,0.101,0.183,0.264,0.358,0.479,0.558,0.689,0.819,0.925,,0.001,0.11,0.194,0.288,0.351,0.513,0.609,0.693,0.796,0.907
0.002,0.085,0.179,0.254,0.388,0.494,0.614,0.705,0.799,0.929,,0.006,0.084,0.202,0.318,0.365,0.455,0.592,0.706,0.77,0.909
0,0.084,0.183,0.311,0.381,0.465,0.575,0.716,0.785,0.899,,0.003,0.077,0.183,0.319,0.408,0.491,0.618,0.69,0.808,0.897
p=600,,,,,,,,,,,p=600,,,,,,,,,
0.004,0.104,0.205,0.303,0.411,0.529,0.573,0.69,0.822,0.905,,0.002,0.106,0.186,0.307,0.41,0.512,0.618,0.685,0.793,0.898
0.002,0.087,0.19,0.33,0.398,0.477,0.605,0.678,0.788,0.894,,0,0.119,0.234,0.313,0.41,0.5,0.637,0.711,0.816,0.895
0.002,0.11,0.181,0.267,0.377,0.5,0.58,0.699,0.811,0.891,,0.003,0.118,0.191,0.311,0.439,0.493,0.605,0.706,0.813,0.908
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.002,0.111,0.218,0.321,0.429,0.506,0.625,0.702,0.827,0.893,,0.035,0.112,0.193,0.312,0.366,0.484,0.569,0.672,0.809,0.873
0,0.111,0.186,0.3,0.411,0.487,0.589,0.698,0.784,0.915,,0.004,0.093,0.185,0.295,0.365,0.445,0.567,0.657,0.804,0.898
0.003,0.084,0.22,0.295,0.416,0.497,0.616,0.733,0.835,0.904,,0,0.096,0.185,0.288,0.426,0.497,0.578,0.677,0.794,0.908
0.005,0.101,0.183,0.264,0.358,0.479,0.558,0.689,0.819,0.925,,0.001,0.11,0.194,0.288,0.351,0.513,0.609,0.693,0.796,0.907
0.002,0.085,0.179,0.254,0.388,0.494,0.614,0.705,0.799,0.929,,0.006,0.084,0.202,0.318,0.365,0.455,0.592,0.706,0.77,0.909
0,0.084,0.183,0.311,0.381,0.465,0.575,0.716,0.785,0.899,,0.003,0.077,0.183,0.319,0.408,0.491,0.618,0.69,0.808,0.897
0.004,0.104,0.205,0.303,0.411,0.529,0.573,0.69,0.822,0.905,,0.002,0.106,0.186,0.307,0.41,0.512,0.618,0.685,0.793,0.898
0.002,0.087,0.19,0.33,0.398,0.477,0.605,0.678,0.788,0.894,,0,0.119,0.234,0.313,0.41,0.5,0.637,0.711,0.816,0.895
0.002,0.11,0.181,0.267,0.377,0.5,0.58,0.699,0.811,0.891,,0.003,0.118,0.191,0.311,0.439,0.493,0.605,0.706,0.813,0.908
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.002,0.011,0.018,0.021,0.029,0.006,0.025,0.002,0.027,0.007,,0.035,0.012,0.007,0.012,0.034,0.016,0.031,0.028,0.009,0.027
0,0.011,0.014,0,0.011,0.013,0.011,0.002,0.016,0.015,,0.004,0.007,0.015,0.005,0.035,0.055,0.033,0.043,0.004,0.002
0.003,0.016,0.02,0.005,0.016,0.003,0.016,0.033,0.035,0.004,,0,0.004,0.015,0.012,0.026,0.003,0.022,0.023,0.006,0.008
0.005,0.001,0.017,0.036,0.042,0.021,0.042,0.011,0.019,0.025,,0.001,0.01,0.006,0.012,0.049,0.013,0.009,0.007,0.004,0.007
0.002,0.015,0.021,0.046,0.012,0.006,0.014,0.005,0.001,0.029,,0.006,0.016,0.002,0.018,0.035,0.045,0.008,0.006,0.03,0.009
0,0.016,0.017,0.011,0.019,0.035,0.025,0.016,0.015,0.001,,0.003,0.023,0.017,0.019,0.008,0.009,0.018,0.01,0.008,0.003
0.004,0.004,0.005,0.003,0.011,0.029,0.027,0.01,0.022,0.005,,0.002,0.006,0.014,0.007,0.01,0.012,0.018,0.015,0.007,0.002
0.002,0.013,0.01,0.03,0.002,0.023,0.005,0.022,0.012,0.006,,0,0.019,0.034,0.013,0.01,0,0.037,0.011,0.016,0.005
0.002,0.01,0.019,0.033,0.023,0,0.02,0.001,0.011,0.009,,0.003,0.018,0.009,0.011,0.039,0.007,0.005,0.006,0.013,0.008
